,熟語,意味
0,be covered with,～でおおわれている
1,be hung on,～がかけられている
2,be loaded with,～が積まれている
3,be next to,～の隣にある
4,be piled up with,〜が積つまれている
5,be propped up against,～が立てかけてある
6,be ready to,～する準備ができている
7,cast a shadow,影を落とす
8,gather in,～に集まる
9,gaze at,～を見つめる
10,get on/into,～に乗り込む
11,glance at,ちらりと見る
12,go around,～の周りを進む
13,hand out,～を配る
14,hold up,～を持ち上げる 
15,in a row,1列に
16,lean on/against,寄りかかる
17,lie on,～に横たわる
18,line up,1列に並ぶ
19,look over,～越しに見る
20,mount on,～に取り付ける
21,pick up,車で迎えに行く
22,point at,～を指す
23,put on,～を着る
24,sail away from,～出港する
25,situate on,～に位置する
26,stack up,～を積み上げる
27,stare at,〜をじっと見る
28,try on,～を試着する
29,walk on,～を歩いている
30,a lot of,たくさんの〜
31,as usual,いつもどおり
32,ask a favor,お願いをする
33,be made of,～でできている
34,belong to,〜に所属する、〜の所有である
35,Do you have the time?,今何時ですか？
36,Don’t worry,心配しなくて大丈夫です
37,Excuse me,すいません
38,get to,～に着く
39,Great idea.,良いアイディアですね
40,Iagree,同意します
41,Idon’t care,～を気にしません
42,Idon’t think,～とは思いません
43,Ithink,～と思います
44,I’m sorry,申し訳ありません
45,in a hurry,急いでいる 
46,in charge of,〜を担当して
47,It looks like～,～のようだ
48,It was nice meeting you.,あなたにお会いできて光栄です。
49,just in case,万が一のために
50,make a reservation,予約を取る
51,May I…?,～させていただいてもよろしいでしょうか?
52,me too,私もです
53,on duty,勤務時間中で
54,on exhibit ,展示されている
55,Please do.,どうぞ
56,show up,到着する
57,What caused …?,何が…の原因ですか?
58,What’s the matter with…?,～に何があったのですか?
59,Why don’t you…?,～してはどうですか?
60,all right,わかりました/大丈夫ですよ
61,as soon as possible,可能な限り速く
62,be about to,～するところです
63,be on vacation,休暇を取っている
64,depart from,(飛行機などが)～出発する
65,for a while,しばらくの間
66,go over,〜を綿密に調べる
67,have to,～しなければならない
68,How may I help you?,ご用件はいかがでしょうか
69,Iguess,～と思う
70,Iknow what you mean.,あなたの言っていることはわかります
71,Iwish Icould…,そう願いたいものですが(実際は無理なんです)
72,I’d like to,～が欲しい/～がしたい
73,I’d rather,～のほうがいい
74,I’m afraid,恐れ入りますが
75,I’m lucky to have,～を持てて幸運です
76,If you don’t mind,もしあなたが気にしないのなら
77,let’s say,例えば
78,let’s see,ええと
79,look forward to,〜を楽しみにする
80,move to/into,～に引っ越しする
81,Of course,もちろんです
82,Sounds good,いいですね
83,take a break,休憩する
84,That’s right.,その通り
85,There’s no charge,費用はかかりません
86,What if,もし～なら
87,Would you like ～,～はいかがですか?
88,you know,あのね/わかります?
89,A as well as B,AもBも
90,a number of,多くの
91,as a result of,～の結果
92,at any time ,いつでも
